"Freq [GHz]","dB(S(1,1)) [] - Lm='19mm'","dB(S(1,1)) [] - Lm='19.2mm'","dB(S(1,1)) [] - Lm='19.4mm'","dB(S(1,1)) [] - Lm='19.6mm'","dB(S(1,1)) [] - Lm='19.8mm'","dB(S(1,1)) [] - Lm='20mm'"
4.66,-3.01866020258327,-3.42843750991395,-4.06934130657607,-4.69862115292272,-5.35381598570137,-5.87844739556036
4.68,-3.16344241835994,-3.59445841044382,-4.26596322785053,-4.91979016074879,-5.59379200720308,-6.11517340132575
4.7,-3.31503249321864,-3.76785225553692,-4.47012044613948,-5.14736615366414,-5.83750324882023,-6.35148890613207
4.72,-3.4736137652469,-3.94871754453482,-4.68166356743586,-5.38077559617283,-6.08377273997398,-6.58575957120296
4.74,-3.63936899442612,-4.13713787482843,-4.9003916627019,-5.6193501574372,-6.33129983997544,-6.81628090056486
4.76,-3.81248155248829,-4.33318270147152,-5.12605195990204,-5.86232980428012,-6.57867914257292,-7.04132532869904
4.78,-3.99313734525332,-4.53690910666634,-5.35834134348738,-6.10887007199926,-6.8244283033307,-7.25919942201988
4.8,-4.18152765295351,-4.74836483408664,-5.59691012077351,-6.35805434019653,-7.06702545596312,-7.46830930597225
4.82,-4.37785310426195,-4.96759287839455,-5.84136855312543,-6.60891187510555,-7.30495622200371,-7.66723111002573
4.84,-4.5823290333284,-5.19463795701468,-6.09129667199362,-6.86044223833956,-7.53676942161728,-7.85478200988637
4.86,-4.79519250662541,-5.42955522891391,-6.3462578981332,-7.11164638634728,-7.76113952730231,-8.03008660705419
4.88,-5.01671134872365,-5.67242166381193,-6.60581694941037,-7.36156438929591,-7.97693279934749,-8.19263317946804
4.9,-5.24719554475076,-5.92335050568687,-6.8695624527932,-7.6093191971782,-8.18327309534414,-8.34231493446427
4.92,-5.48701145468977,-6.18250931877736,-7.13713456770829,-7.85416531655893,-8.37960277871802,-8.47945280720906
4.94,-5.73659934471054,-6.45014215689145,-7.40825778585792,-8.09554070542334,-8.56573416239222,-8.60479839144588
4.96,-5.99649482940612,-6.72659646556651,-7.68277891131735,-8.33311974335136,-8.74188762549289,-8.71951791789811
4.98,-6.26735493521056,-7.01235542447633,-7.96071007073136,-8.56686489862684,-8.90871390730201,-8.82516038598365
5,-6.5499896529718,-7.30807658487815,-8.24227649645631,-8.79707479158231,-9.06729993382644,-8.92361462470535
5.02,-6.84540006659338,-7.61463788482862,-8.52796881818844,-9.024426807754,-9.21915956931803,-9.0170609695241
